State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,State20,PUMA20,GEOID20,GISJOIN20,State20_Name,PUMA20_Name,PUMA10_Pop10,PUMA20_Pop10,Part_Pop10,pPUMA10_Pop10,pPUMA20_Pop10,PUMA10_Pop20,PUMA20_Pop20,Part_Pop20,pPUMA10_Pop20,pPUMA20_Pop20,PUMA10_Land,PUMA20_Land,Part_Land,pPUMA10_Land,pPUMA20_Land
01,00100,0100100,G01000100,Alabama,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",01,00100,0100100,G01000100,Alabama,"Lauderdale, Colbert & Franklin Counties","186,695","178,841","178,841",95.79,100,"190,134","182,904","182,904",96.2,100,"5,402,914,269","4,907,736,657","4,907,736,657",90.83,100
01,00100,0100100,G01000100,Alabama,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",01,01000,0101000,G01001000,Alabama,"Cullman, Marion & Winston Counties","186,695","135,666","7,854",4.21,5.79,"190,134","140,747","7,230",3.8,5.14,"5,402,914,269","5,413,280,343","495,177,612",9.17,9.15
01,00200,0100200,G01000200,Alabama,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),01,00200,0100200,G01000200,Alabama,Limestone County,"171,821","82,782","82,782",48.18,100,"211,374","103,570","103,570",49,100,"2,680,358,329","1,450,296,914","1,450,296,914",54.11,100
01,00200,0100200,G01000200,Alabama,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),01,00401,0100401,G01000401,Alabama,Madison County (North & East)--Huntsville City (East),"171,821","94,513","78,768",45.84,83.34,"211,374","113,502","90,998",43.05,80.17,"2,680,358,329","1,165,630,934","996,424,703",37.18,85.48
01,00200,0100200,G01000200,Alabama,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),01,00402,0100402,G01000402,Alabama,"Huntsville (North & Far West), Madison (East) & Triana Cities","171,821","129,190","10,266",5.97,7.95,"211,374","153,097","16,741",7.92,10.93,"2,680,358,329","467,760,017","231,381,168",8.63,49.47
01,00200,0100200,G01000200,Alabama,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),01,00403,0100403,G01000403,Alabama,Huntsville City (Central & South),"171,821","101,526",5,0,0,"211,374","107,983",65,0.03,0.06,"2,680,358,329","163,234,632","2,253,780",0.08,1.38
01,00200,0100200,G01000200,Alabama,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),47,03000,4703000,G47003000,Tennessee,"Lawrence, Giles & Wayne Counties--Lawrenceburg city","171,821","108,451",0,0,0,"211,374","111,685",0,0,0,"2,680,358,329","6,886,841,133","1,764",0,0
01,00301,0100301,G01000301,Alabama,Huntsville (North) & Madison (East) Cities,01,00402,0100402,G01000402,Alabama,"Huntsville (North & Far West), Madison (East) & Triana Cities","118,924","129,190","118,924",100,92.05,"136,356","153,097","136,356",100,89.07,"236,202,913","467,760,017","236,202,913",100,50.5
01,00302,0100302,G01000302,Alabama,Huntsville City (Central & South),01,00401,0100401,G01000401,Alabama,Madison County (North & East)--Huntsville City (East),"101,522","94,513",0,0,0,"107,919","113,502",0,0,0,"161,118,283","1,165,630,934",125,0,0
01,00302,0100302,G01000302,Alabama,Huntsville City (Central & South),01,00402,0100402,G01000402,Alabama,"Huntsville (North & Far West), Madison (East) & Triana Cities","101,522","129,190",0,0,0,"107,919","153,097",0,0,0,"161,118,283","467,760,017","175,936",0.11,0.04
01,00302,0100302,G01000302,Alabama,Huntsville City (Central & South),01,00403,0100403,G01000403,Alabama,Huntsville City (Central & South),"101,522","101,526","101,521",100,100,"107,919","107,983","107,918",100,99.94,"161,118,283","163,234,632","160,941,144",99.89,98.59
01,00302,0100302,G01000302,Alabama,Huntsville City (Central & South),01,00501,0100501,G01000501,Alabama,Marshall & Madison (Far Southeast) Counties,"101,522","102,601",1,0,0,"107,919","111,183",1,0,0,"161,118,283","1,745,042,850","1,078",0,0
