T2020PUMA_GISMATCH,gamma01b_units_FMM_agg_eq20,gamma01b_units_FMM_agg_eq21
100100,0.65187538,0.68506694
100200,0.71991402,0.73435134
100300,0.62569809,0.65717942
100401,0.9100374,0.91057169
100402,0.48427814,0.50746477
100403,0.44538325,0.46574256
100501,0.92579132,0.92675781
100700,0.5915643,0.63353062
100800,0.78679645,0.81401616
100900,0.63338745,0.63338739
101100,0.65651065,0.65651214
101201,0.83093584,0.83657283
101202,0.45346206,0.47981793
101301,0.717785,0.72319108
101401,0.45732769,0.49493679
101402,0.57930672,0.59771585
101403,0.25136015,0.26661482
101404,0.42435762,0.44884697
101501,0.45502427,0.48256037
101502,0.6310274,0.63421446
101600,0.60951555,0.67351288
101700,0.68497097,0.70720232
101801,0.44624078,0.47380871
101802,0.37503111,0.42157862
101901,0.88628447,0.89029121
102000,0.68350434,0.68350434
102101,0.28725252,0.37898228
102201,0.7275129,0.76504391
102300,0.72863108,0.76838857
102400,0.78370374,0.79811978
102500,0.8590554,0.86042577
102701,0.80961174,0.81795764
102702,0.70188719,0.72691351
102801,0.88389951,0.88829607
102802,0.58829457,0.60321039
102803,0.49558997,0.51074481
400101,0.35367495,0.3823702
400102,0.25712904,0.26428959
400103,0.18882941,0.18895331
400104,0.20879252,0.21308939
400105,0.33639702,0.34934631
400106,0.25379923,0.25961742
400107,0.41635522,0.43127558
400108,0.25348422,0.25705168
400109,0.19491717,0.19524461
400110,0.23519987,0.23912451
400111,0.4201467,0.44735426
400112,0.62666333,0.64493889
400113,0.24053693,0.24474499
400114,0.20779084,0.21210164
400115,0.1981426,0.20540744
400116,0.21788679,0.21798772
400117,0.2235759,0.22649711
400118,0.22926475,0.23011427
400119,0.33094966,0.34402108
400120,0.29889327,0.31298915
400121,0.33482024,0.35922089
400122,0.21469679,0.21479152
400123,0.25850117,0.27262434
400124,0.26725951,0.27972135
400125,0.20972595,0.21018146
400126,0.24117623,0.24452387
400127,0.28923556,0.29630271
400128,0.26254365,0.28519034
400129,0.52892184,0.55727327
400130,0.26142186,0.28016341
400131,0.4887321,0.52104634
400132,0.74743968,0.76635385
400133,0.53284758,0.551557
400134,0.74999189,0.75815243
400135,0.84430212,0.84490889
400701,1.0310874,1.0408287
400803,0.54762644,0.58129185
400805,0.71832252,0.72481006
