GEOID,scenario,period,HDD,CDD,midyear,SST
100100,RCP45,1985-2015,1702.022529607636,916.4604642285833,2000,0.0
100200,RCP45,1985-2015,1721.0409150265682,908.5663611729572,2000,0.0
100300,RCP45,1985-2015,1631.9584563587782,928.5706630161999,2000,0.0
100401,RCP45,1985-2015,1762.887736124177,853.1357841541789,2000,0.0
100402,RCP45,1985-2015,1652.6231262320794,936.3078130379942,2000,0.0
100403,RCP45,1985-2015,1639.346771018961,940.5662494987674,2000,0.0
100501,RCP45,1985-2015,1622.3377564937289,898.9924787650536,2000,0.0
100600,RCP45,1985-2015,1744.9167844257731,812.9950113110341,2000,0.0
100700,RCP45,1985-2015,1520.1721210811786,900.9195887600673,2000,0.0
100800,RCP45,1985-2015,1438.5580478367006,955.7691105788041,2000,0.0
100900,RCP45,1985-2015,1366.0964912392262,1051.0810155796885,2000,0.0
101000,RCP45,1985-2015,1526.404189790521,994.2321486463928,2000,0.0
101100,RCP45,1985-2015,1142.744295961944,1267.638382609378,2000,0.0
101201,RCP45,1985-2015,1299.1517470285175,1159.6029554410934,2000,0.0
101202,RCP45,1985-2015,1234.8921196607132,1218.830405858806,2000,0.0
101301,RCP45,1985-2015,1400.886460630919,1067.2215201705908,2000,0.0
101401,RCP45,1985-2015,1337.1038158272836,1125.004481023213,2000,0.0
101402,RCP45,1985-2015,1386.4273383272712,1065.7074461375819,2000,0.0
101403,RCP45,1985-2015,1359.8830997551668,1094.014168437277,2000,0.0
101404,RCP45,1985-2015,1363.413377666024,1076.2000146364774,2000,0.0
101501,RCP45,1985-2015,1284.6485258870982,1151.7855343967792,2000,0.0
101502,RCP45,1985-2015,1250.136051973569,1149.0228330095097,2000,0.0
101600,RCP45,1985-2015,1345.3366214657594,1023.7419855676577,2000,0.0
101700,RCP45,1985-2015,1050.3273326402896,1328.4801311877557,2000,0.0
101801,RCP45,1985-2015,1049.1406210190257,1341.8290328307717,2000,0.0
101802,RCP45,1985-2015,1074.4866936157346,1314.687532627916,2000,0.0
101901,RCP45,1985-2015,1112.6158187185895,1261.5765868141004,2000,0.0
102000,RCP45,1985-2015,1222.1715767956725,1142.7429396398468,2000,0.0
102101,RCP45,1985-2015,1225.064279287895,1149.4575359945625,2000,0.0
102201,RCP45,1985-2015,1092.4063455711964,1297.3197757900296,2000,0.0
102300,RCP45,1985-2015,862.6630914861341,1406.9932769037362,2000,0.0
102400,RCP45,1985-2015,921.9618045914642,1353.0271886376559,2000,0.0
102500,RCP45,1985-2015,964.6270124767874,1338.4305536606232,2000,0.0
102600,RCP45,1985-2015,888.3802233803589,1402.2420568468208,2000,0.0
102701,RCP45,1985-2015,739.3421305152908,1504.0568096853444,2000,0.0
102702,RCP45,1985-2015,600.238103999771,1581.4247835695758,2000,0.0
102801,RCP45,1985-2015,742.1454189014875,1500.369854486896,2000,0.0
102802,RCP45,1985-2015,659.3163152871272,1549.5820738447035,2000,0.0
102803,RCP45,1985-2015,705.0711249940845,1538.412293984327,2000,0.0
200101,RCP45,1985-2015,6720.526063040652,0.446475972464726,2000,0.0
200102,RCP45,1985-2015,6081.908506508838,0.45177680241893153,2000,0.0
