PUMA2020,elasticity
100100,0.65187538
100200,0.71991402
100300,0.62569809
100401,0.9100374
100402,0.48427814
100403,0.44538325
100501,0.92579132
100700,0.5915643
100800,0.78679645
100900,0.63338745
101100,0.65651065
101201,0.83093584
101202,0.45346206
101301,0.717785
101401,0.45732769
101402,0.57930672
101403,0.25136015
101404,0.42435762
101501,0.45502427
101502,0.6310274
101600,0.60951555
101700,0.68497097
101801,0.44624078
101802,0.37503111
101901,0.88628447
102000,0.68350434
102101,0.28725252
102201,0.7275129
102300,0.72863108
102400,0.78370374
102500,0.8590554
102701,0.80961174
102702,0.70188719
102801,0.88389951
102802,0.58829457
102803,0.49558997
400101,0.35367495
400102,0.25712904
400103,0.18882941
400104,0.20879252
400105,0.33639702
400106,0.25379923
400107,0.41635522
400108,0.25348422
400109,0.19491717
400110,0.23519987
400111,0.4201467
400112,0.62666333
400113,0.24053693
400114,0.20779084
400115,0.1981426
400116,0.21788679
400117,0.2235759
400118,0.22926475
400119,0.33094966
400120,0.29889327
400121,0.33482024
400122,0.21469679
400123,0.25850117
400124,0.26725951
400125,0.20972595
400126,0.24117623
400127,0.28923556
400128,0.26254365
400129,0.52892184
400130,0.26142186
400131,0.4887321
400132,0.74743968
400133,0.53284758
400134,0.74999189
400135,0.84430212
400701,1.0310874
400803,0.54762644
400805,0.71832252
400807,0.7080425
400900,0.99837887
401101,0.50602299
401901,0.76811647
401902,0.58349609
401903,0.56137168
401904,0.54358244
401905,0.650415
401906,0.25503233
401907,0.29415911
401908,0.42748123
401909,0.3652927
500101,0.66017795
500102,0.39403185
500201,0.61966485
500202,0.58687758
500300,0.95545226
500400,0.79671484
500600,0.54049462
500800,0.65594923
500900,0.69284147
501100,0.59257901
501200,0.50786686
501300,0.84199202
501400,0.71674168
501501,0.55123365
501502,0.34213233
501600,0.55314749
501700,0.938209
600101,0.11213477
600111,0.16842493
600112,0.19408181
600113,0.12439333
600114,0.18557018
600115,0.12630156
600116,0.17480622
600117,0.11405839
600118,0.12970084
600119,0.16549593
600120,0.12538777
600121,0.08998426
600122,0.13927074
600123,0.094269395
600300,0.76174051
600700,0.55253053
601100,0.93064946
601301,0.12906207
601305,0.31939077
601308,0.063846357
601309,0.42505589
601310,0.19348602
601311,0.1566004
601312,0.43699324
601313,0.17781617
601314,0.13578571
601500,0.82462019
601700,0.5991832
601901,0.7952708
601902,0.29810435
601903,0.26249427
601904,0.32870886
601905,0.35420281
601906,0.31035313
601907,0.7154935
602500,0.20667574
602903,0.23174398
602904,0.4352701
602905,0.48652485
602906,0.47122684
602907,0.48619109
602908,0.30874312
603100,0.97041756
603703,0.27603221
603704,0.27595758
603705,0.15932584
603706,0.14256246
603707,0.12135942
603708,0.19480911
603709,0.26032877
603710,0.13214235
603711,0.17289607
603712,0.14780562
603713,0.13938141
603714,0.22262537
603715,0.13673873
603716,0.13590406
603717,0.11745753
603718,0.13360535
603719,0.15825357
603720,0.14820659
603721,0.16513817
603722,0.15796988
603723,0.15159635
603724,0.17761007
603725,0.15690483
603728,0.12359057
603730,0.16388308
603731,0.14556859
603732,0.15670493
603733,0.1835117
603734,0.12513702
603735,0.13463756
603736,0.12297881
603737,0.11980879
603738,0.16579831
603739,0.14724205
603740,0.144518
603741,0.20102389
603742,0.2182039
603743,0.13215381
603744,0.14835781
603745,0.22504975
603746,0.20058003
603747,0.15151724
603748,0.14036545
603750,0.18521059
603751,0.1901861
603752,0.18810849
603753,0.17682253
603754,0.1179094
603757,0.16973421
603758,0.17028755
603759,0.20717581
603760,0.10018561
603761,0.14794137
603762,0.16463368
603763,0.16323021
603764,0.16437198
603766,0.20568456
603767,0.12896571
603768,0.18914334
603770,0.13479459
603771,0.24415869
603772,0.56755686
603773,0.20917057
603774,0.31239739
603775,0.18673284
603776,0.12347863
603778,0.15386823
603779,0.13668765
603780,0.16253777
603781,0.17189123
603782,0.18535203
604103,0.37541908
604104,0.28744817
604701,0.72986364
604702,0.57277077
605301,0.35604119
605302,0.33149594
605303,0.49601009
605500,0.2698597
605906,0.12336133
605907,0.13428563
605908,0.16395183
605909,0.15942967
605912,0.16112967
605913,0.15463507
605914,0.14526066
605916,0.1629969
605917,0.15753628
605918,0.14916632
605919,0.15859598
605920,0.13134331
605921,0.23595482
605922,0.14096875
605923,0.14723724
605924,0.16806908
605925,0.13448259
605926,0.13649313
605927,0.22975509
605928,0.13982113
606101,0.25495479
606102,0.43318927
606103,0.63891393
606501,0.24290204
606502,0.17040053
606507,0.3501513
606509,0.41951242
606511,0.14451437
606514,0.21661744
606515,0.16882263
606516,0.2917313
606517,0.30743825
606518,0.18780538
606519,0.26449594
606520,0.14775872
606521,0.24540277
606522,0.13454798
606523,0.28327572
606524,0.26565832
606525,0.23817119
606701,0.18214954
606703,0.2703687
606704,0.22217773
606705,0.32210964
606706,0.37454769
606707,0.27475885
606709,0.30016071
606712,0.30965492
606713,0.26756427
606714,0.2487354
606715,0.39703315
606716,0.35606465
606717,0.85284781
607101,0.44746432
607102,0.28588271
607103,0.35257182
607104,0.48370785
607105,0.22546332
607107,0.15627441
607108,0.11886548
607110,0.083345383
607111,0.1666736
607112,0.12868021
607115,0.13750675
607116,0.15340072
607117,0.10743668
607118,0.14122902
607119,0.24927498
607301,-0.031767022
607302,0.46778145
607306,0.085708976
607307,0.39120615
607308,0.15424378
607310,0.12453347
607311,0.1182032
607312,0.071327932
607313,0.13560227
607314,0.1359411
607315,0.085152544
607316,0.14880653
607317,0.1119488
607322,0.12824264
607323,-0.017803457
607324,-0.0078786686
607325,0.10264839
607326,0.096828863
607327,0.077400863
607328,0.14955187
607329,0.14655437
607330,0.10668027
607507,0.13057761
607508,0.14810327
607509,0.23065814
607510,0.23651181
607511,0.14843871
607512,0.14097904
607513,0.11135033
607514,0.16309981
607705,0.2529701
607706,0.25689977
607707,0.04788278
607708,0.33068487
607709,0.2018632
607902,0.97041756
608101,0.18779561
608102,0.13462344
608103,0.15539144
608104,0.22615668
608105,0.1452993
608106,0.21108916
608301,0.01466151
608302,0.29671758
608303,0.34371364
608505,0.030532792
608506,0.1726729
608507,0.11114056
608508,0.039467797
608510,0.02861502
608511,0.0058180792
608512,0.010729021
608515,0.18019478
608516,0.068512186
608517,0.061135981
608518,0.032956336
608519,0.048948925
608520,0.048003323
608521,0.040870253
608522,0.088270865
608701,0.47219995
608702,0.038251143
608900,0.64997798
609501,0.075286113
609502,0.22358936
609503,0.20531969
609702,0.22073099
609704,0.46768844
609705,0.15947379
609706,0.27451885
609901,0.49214557
609902,0.32464114
609903,0.45700821
609904,0.28170162
610100,0.47207558
610701,0.47809309
610702,0.37364748
610703,0.7624495
611102,0.26417133
611103,0.1535642
611104,0.16840668
611107,0.40689835
611108,0.22072233
611109,0.22603802
611301,0.38375425
611302,0.31065246
800301,0.63484508
800302,0.46859586
800303,0.39452139
800401,0.78756171
800501,0.26726753
800502,0.22648907
800601,0.31764135
800701,0.21717909
800702,0.20193721
800703,0.23856692
800801,0.29141733
800901,0.62419122
800902,0.54001749
801001,0.76909459
801002,0.095127881
801003,0.77359867
801101,0.16286744
801201,0.30295357
801202,0.24544773
801301,0.17536913
801401,0.65820402
801501,0.17674501
801601,0.13163462
801602,0.23830476
801603,0.17084683
801701,0.16895658
801702,0.26162523
801703,0.15263437
801704,0.18842934
801705,0.17073798
801800,0.74321997
802001,0.81354773
802002,0.45650664
802003,0.38790157
802004,0.20798744
802005,0.27127492
802006,0.24511798
802101,0.77252364
802301,0.29278892
802401,0.80439711
802501,0.38140288
920100,0.46700531
920201,0.010418596
920202,0.29979444
920203,0.66366595
920204,0.10694578
920205,0.22730847
920206,0.17125641
920207,0.29018879
920301,0.5841465
920401,0.19902882
920402,0.501109
920500,0.37609366
920601,0.066140465
920602,0.10239173
920603,0.14070302
920604,0.31179613
920701,0.050449029
920702,0.34178048
920703,0.2849457
920801,-0.016805535
920802,0.14007038
920901,0.13245177
920902,0.42000592
920903,0.10039911
920904,0.33586109
1000101,0.30740926
1000102,0.041014243
1000103,0.17177349
1000104,0.24443616
1000105,0.61000866
1000200,0.54311538
1000301,0.46269745
1000302,0.63334972
1100101,0.28475428
1100102,0.15412806
1100103,0.1390598
1100104,0.17261282
1100105,0.17145637
1100106,0.22669291
1200101,0.63526779
1200102,0.86714554
1200398,0.77827018
1200500,0.45734286
1200798,0.85440886
1200901,0.60288745
1200902,0.1261429
1200903,0.16974963
1200904,0.27824914
1200905,0.37074959
1201101,0.22594504
1201102,0.22178861
1201103,0.12378042
1201104,0.15633242
1201105,0.22297376
1201106,0.2649959
1201107,0.24617393
1201108,0.22822297
1201109,0.19605592
1201110,0.31974664
1201111,0.16362223
1201112,0.17521298
1201113,0.19195545
1201114,0.14053027
1201115,0.2390413
1201116,0.18303981
1201117,0.27565002
1201500,-0.046922244
