PUMA2020,q,population,H_S,homeownership_rate,total_owner_occupied_home_value,mean_rent,mean_labour_earnings,mean_labour_earnings_workingage,mean_income,mean_income_workingage,delta
100100,132064.4141966576,182904,335532.21118689695,0.5489138690147823,8.821936535910065e9,629.4306462747822,41516.10591160264,57177.96816133317,62462.11742217097,69072.4112346572,0.7510934898078965
100200,218043.5627394997,103570,186413.39346321297,0.6990050903589056,7.149785193651027e9,681.7592082102943,60455.63649,80917.10343916841,83616.92250669027,97470.81875969375,0.17564598951836785
100300,162665.5158,156494,279198.45406206517,0.6247191189286239,8.01903795426289e9,663.7388610228004,46005.94193038588,61605.19875,72634.54502742621,83582.67057561246,0.5994574905789247
100401,210844.4220811028,113502,202552.39746203943,0.6915570622404408,7.703694820079241e9,676.305015,59357.75517681258,79423.25785497774,82566.55668053625,95938.12901056744,1.0245870171613642
100402,210844.4221587839,153097,262956.8428923669,0.6267612221720213,8.473116089264856e9,839.0440666578434,62520.34388084942,78349.55166341923,81961.32037552074,91798.69724065904,0.21588222148646413
100403,210844.4219248482,107983,201279.60946522953,0.5233136482468086,8.61002380609303e9,862.5647178797776,56898.55518937508,83782.04402673221,88189.86897296707,100079.0761425512,0.08458832355922964
100501,169048.6837709561,111183,187992.35091468785,0.6477487539588127,6.755647636439702e9,644.2615925479518,52899.04473882985,70635.72964682357,76389.51500781899,86925.80840633225,0.7129699699880114
100600,138339.8322069873,124187,210884.24579193507,0.6633581638520313,5.297447349483176e9,502.0362054665389,32820.88372297653,47862.04420697047,55629.14976653579,63578.82184027573,0.6506263310373172
100700,147553.0002229486,128407,235551.65970484284,0.5641541666202602,5.777642377238732e9,572.8584496303844,35767.52092592725,51040.38070843137,54812.98248669825,63581.16820857198,2.2518361876676334
100800,125682.8752618009,116441,208620.16262325164,0.5475982271095639,4.554012792635015e9,647.6995937877437,41802.00201226631,51673.31670812471,60217.18714025291,62766.41753794323,1.0319028457193673
