PUMA2020,elasticity,delta_bar,A_g,α_g,delta_g,HDD_g,CDD_g
100100,0.65187538,0.7510934898078965,-0.009835961581787137,-0.009947826185451702,0.09574068073864128,-211.46323661833642,253.26346049113295
100200,0.71991402,0.17564598951836785,-0.009730245059697922,-0.009774785164795864,0.07098416558069556,-212.22219341288687,251.07993040224358
100300,0.62569809,0.5994574905789247,-0.009891228365636006,-0.010151788472018638,0.07067638406167762,-205.86242783664713,253.48057085773792
100401,0.9100374,1.0245870171613642,-0.009489731159319191,-0.00931929351350747,0.1554178155746202,-216.7828713443585,246.61562318439684
100402,0.48427814,0.21588222148646413,-0.00986667277689211,-0.010094857059414304,0.15541746734104644,-206.80616022736885,253.10970777924996
100403,0.44538325,0.08458832355922964,-0.009887661904594886,-0.010146354586384437,0.15541689586294605,-205.8695156717489,253.4036180161415
100501,0.92579132,0.7129699699880114,-0.00972340774995997,-0.009883636608432418,0.10818945004590813,-206.76721041877047,249.96101215684237
100600,0.6573749264496751,0.6506263310373172,-0.009290398552254624,-0.008997565135669634,0.06684048826315483,-218.0054217476112,242.4614576405762
100700,0.5915643,2.2518361876676334,-0.00977311896023349,-0.010144532647300974,0.29782592126319984,-198.1788795700846,249.52561150770123
100800,0.78679645,1.0319028457193673,-0.010068314376225868,-0.010738623293928603,0.18809963262979543,-190.9746294150019,254.71949286156544
100900,0.63338745,0.3128609617200324,-0.010466006304857766,-0.011486287861502326,0.24478365282457698,-183.68545855167076,262.1460201562785
101000,0.6496729225573359,0.11945039126066548,-0.010291124344940403,-0.010941773973662208,0.05917451654335915,-196.78239981144918,260.6373198116917
101100,0.65651065,0.23716171505685116,-0.011481707112259475,-0.013505607672934565,0.355046540520113,-160.0349111557203,280.21907659256163
101201,0.83093584,0.9586078368768431,-0.011013431367455888,-0.012481312890931878,0.286290554829943,-175.21718749236217,272.6467233803514
101202,0.45346206,0.03502508143912365,-0.011335114911364037,-0.013107098414591206,0.28629148123480097,-168.35748425056423,278.4826871445967
101301,0.717785,0.6535170866127438,-0.010586587461793792,-0.011620945438340852,0.21274494352800102,-185.69529494609324,265.14735418546377
101401,0.45732769,0.6025023488925385,-0.010779802321690903,-0.012043551056103701,0.23767746080378485,-179.43222281460314,268.27200277388573
101402,0.57930672,0.44508348625579036,-0.01050464554219958,-0.011518317147705376,0.23767732188007,-184.83938359135132,263.1983453791563
101403,0.25136015,0.07366902324891374,-0.010626791085296659,-0.011760024058191567,0.2376772947747655,-182.04709883461433,265.3809777600227
101404,0.42435762,0.11660768733747129,-0.01053093491579134,-0.011601563057545266,0.23767720070998904,-182.8067845030833,263.41381294443676
101501,0.45502427,0.3546008385950599,-0.010839617003708073,-0.012233546863584861,0.3196276740560299,-174.7804598864039,268.75742826289354
101502,0.6310274,0.4249360749310479,-0.010785839812406987,-0.012205463898403003,0.30078643810499317,-172.41816091047517,267.15848499521576
101600,0.60951555,0.2682429550410733,-0.010282231149980043,-0.011263027891363483,0.34949881280881345,-181.4490571199241,257.71860773358395
101700,0.68497097,0.9599150812477708,-0.011500589818791006,-0.013705926159365587,0.48664228574940205,-152.13174052197735,279.22931835568033
101801,0.44624078,0.10150196629349095,-0.011556075976348591,-0.013773964141991996,0.3257571185019949,-152.77805951423775,280.56092671960346
101802,0.37503111,0.04762434089261107,-0.011448234189841342,-0.013541279333537319,0.3257569998030024,-156.12748756195273,278.79093945379736
101901,0.88628447,0.4637676416149572,-0.011201693220086902,-0.013091376239682692,0.3142205842283359,-160.02286087532315,274.0762805521276
102000,0.68350434,0.2983852328357953,-0.01068667756137583,-0.01210649645413352,0.21477300680602027,-170.22563128752284,264.5944117281747
102101,0.28725252,0.18364543750258272,-0.010700317968216522,-0.012110922764035546,0.2053898628355472,-170.94847296169496,265.0219429650494
102201,0.7275129,0.31400726201574863,-0.011253046397570405,-0.013213401469710092,0.27794497201405305,-157.91331062634833,274.8277239834173
102300,0.72863108,0.12955575354845303,-0.011435071749239356,-0.013934675140016384,0.206603664521447,-137.19662221241143,275.1395699377169
102400,0.78370374,0.1903351257909515,-0.011396450290739744,-0.013747437648097372,0.36397550801327844,-143.1603248486146,275.35195004415624
102500,0.8590554,0.23168670861625165,-0.011365629750627586,-0.013637610316635657,0.18416541493431363,-146.1041675251387,275.19898042941253
102600,0.7888102091184168,0.26766024417117534,-0.011717233447948155,-0.014402751590740337,0.18694596330589103,-134.885609482611,280.9168176481865
102701,0.80961174,0.681607739190463,-0.01162421013093075,-0.014588499947091582,0.5609067129795458,-120.05528867952658,276.2424993253271
