PUMA2020,α_bar,A_bar,ρ,q,Π,H_S
100100,1.1090271,0.8433395,210.51233,273.31802,0.009794202,0.37964097
100200,0.9019087,1.0311044,288.82617,349.8722,0.0026414257,0.17915727
100300,1.0484786,0.8709917,226.36131,290.80582,0.00876713,0.3050206
100401,0.92269415,1.0254796,287.16983,347.47385,0.0009566743,0.19638045
100402,0.96210593,1.036585,300.10568,363.45474,0.014765682,0.2565805
100403,0.8672183,1.0588824,290.46,348.02905,0.014043073,0.19030717
100501,0.97902197,0.9330642,265.05264,332.46204,0.0008913086,0.19259056
100600,1.2442707,0.7034602,207.48848,286.76212,0.0062874043,0.2594087
100700,1.1376052,0.73711073,195.05943,261.76602,0.010436426,0.28112724
100800,1.1305512,0.7330467,201.36548,272.7482,0.0030006035,0.24754685
100900,1.0240805,0.9221312,266.00467,335.7878,0.0064702053,0.25757036
101000,1.0993268,0.7603869,193.09361,258.96866,0.008483949,0.31363133
101100,1.1751521,0.70476484,192.61485,264.94632,0.007272352,0.2834679
101201,0.98305976,0.9447173,291.66412,364.88562,0.0011920483,0.16042858
101202,1.0383921,0.83819383,223.89842,292.16095,0.018674202,0.24508017
101301,0.9911016,0.90435356,257.27545,326.65646,0.0031838308,0.20301445
101401,0.9316917,0.90058297,227.26344,287.45175,0.017521279,0.23331125
101402,0.8607447,1.1637468,385.83432,450.2611,0.0057402593,0.19774307
101403,1.1849672,0.70898616,187.85095,256.91174,0.10659938,0.43000978
101404,0.72440827,1.4873757,569.8267,625.99347,0.016319282,0.25086886
101501,0.80274105,1.260063,429.92603,489.96332,0.012020511,0.20137829
101502,0.9181637,0.99414444,275.57858,337.50003,0.0057822987,0.22777738
101600,1.1093806,0.73280716,185.9935,251.15567,0.010545076,0.3060922
101700,1.0720565,0.74775314,188.56677,252.28114,0.0059137163,0.26126537
101801,0.9828198,0.88734096,238.04654,304.03992,0.015861012,0.20338352
101802,1.0491247,0.8064581,218.95816,289.42554,0.024559746,0.2057675
101901,0.9112289,0.9335991,239.41292,298.9011,0.0012395857,0.19377518
102000,1.0878813,0.7302352,183.53545,247.83636,0.006205891,0.26867443
102101,1.0114413,0.8963321,235.45734,299.2796,0.046967927,0.24157988
102201,1.1251022,0.7515737,198.58917,268.14697,0.003857969,0.2254402
