PUMA2020,α_bar,A_bar,ρ,q,Π,H_S
100100,1.1404271,0.74898666,172.88675,227.4938,0.011875102,0.4084019
100200,0.9067747,0.9150849,232.73828,286.9428,0.003277539,0.19272995
100300,1.084052,0.7767481,187.82542,245.11461,0.010495912,0.3281285
100401,0.9128118,0.90697366,231.0923,284.8697,0.0012330853,0.21125792
100402,0.96569437,0.9208899,241.93332,298.2183,0.017481372,0.27601862
100403,0.86655384,0.9395885,233.19426,284.516,0.016525395,0.20472452
100501,0.9946446,0.8275166,219.13081,280.70557,0.0011214507,0.2071809
100600,1.2429863,0.6105541,182.76419,256.238,0.007283119,0.27906108
100700,1.154592,0.64204466,172.23032,234.02364,0.011996323,0.30242497
100800,1.1618024,0.6417553,178.38568,245.39322,0.0035078158,0.2663006
100900,1.0656788,0.8243684,221.4973,284.91077,0.007723761,0.27708346
101000,1.160358,0.68352246,163.61227,221.4081,0.010104746,0.3373915
101100,1.2712184,0.640938,161.59822,223.70169,0.008742502,0.30494297
101201,1.0631045,0.85271156,242.07657,306.4117,0.0014826418,0.17258239
101202,1.1237068,0.75681454,186.93456,246.95177,0.02168024,0.26364705
101301,1.0560772,0.8138581,214.32393,275.7628,0.0038677803,0.21839449
101401,0.99986166,0.8125538,189.79765,242.97789,0.020354697,0.25098652
101402,0.9031695,1.0439397,312.8003,369.88898,0.0069201416,0.21272376
101403,1.2628287,0.63870937,163.7654,226.3394,0.11838596,0.4625866
101404,0.7705035,1.334032,461.91907,511.76453,0.019122599,0.26987427
101501,0.85080934,1.1308295,346.54596,400.43204,0.0141746905,0.21663438
101502,0.9841645,0.89666075,227.75897,283.05008,0.0069507617,0.24503341
101600,1.151157,0.64570755,165.386,226.5775,0.012078854,0.32928124
101700,1.1685153,0.68117374,160.23445,215.92613,0.007077262,0.2810584
101801,1.0588471,0.80161357,198.97592,257.6354,0.018371366,0.21879151
101802,1.1299196,0.72756946,186.5253,250.25778,0.027901115,0.22135611
101901,0.9749471,0.84177005,198.96138,252.01968,0.0015511678,0.20845525
102000,1.1529475,0.65287304,161.89175,221.20038,0.007215555,0.28902876
102101,1.0443025,0.79816383,197.5199,256.469,0.05281705,0.25988156
102201,1.1692246,0.664259,174.9409,240.16676,0.004496683,0.24251918
102300,1.1372381,0.77659875,179.4717,234.69981,0.006119415,0.32654208
102400,1.1359268,0.73834616,178.94164,238.46744,0.00303391,0.22141282
102500,1.1798013,0.7121475,169.34422,227.79208,0.0027336038,0.28972894
102600,1.1256003,0.64374477,121.846825,163.50644,0.0071585625,0.39891896
102701,0.88823444,0.98720515,215.62492,255.28712,0.002821426,0.25074226
102702,0.89800113,0.9864235,215.41966,255.40005,0.004887994,0.23918186
102801,1.1300052,0.80921125,198.03564,252.65869,0.00204387,0.27167654
102802,1.1062472,0.7864973,178.15535,230.13792,0.011288299,0.2768046
102803,1.2695166,0.7188715,186.28531,250.91502,0.01878654,0.2904211
400101,0.92439145,1.0796101,303.49506,369.24628,0.04016856,0.32499874
400102,0.9901695,1.0675838,374.3206,459.67728,0.0421034,0.20366254
400103,1.2930692,0.75275475,301.97018,418.80603,0.061858583,0.19342522
400104,1.1440618,0.76813537,257.29602,352.80573,0.05954456,0.20265087
400105,0.8897209,1.2632773,473.77554,549.03937,0.026440863,0.22073442
400106,0.98293257,0.9831103,314.02347,396.8939,0.042815562,0.1954984
400107,0.79632497,1.4087542,585.0927,655.47955,0.010597987,0.15772934
400108,0.86799824,1.1038953,354.35416,428.53876,0.035532728,0.16511878
400109,1.3381908,0.66861784,279.08182,398.48215,0.060826894,0.19541594
400110,0.755519,1.1996042,326.01468,381.5244,0.05664177,0.22925062
400111,0.75752187,1.2437601,349.93906,405.16614,0.015623367,0.19469872
400112,0.57484025,1.5702777,513.93115,553.356,0.0038002685,0.19895494
400113,0.7232767,1.297658,412.93323,470.99326,0.036999565,0.16261303
400114,1.0170435,0.90706646,287.91278,375.02176,0.0548472,0.18794025
400115,1.2409568,0.76112884,295.19916,408.36096,0.054811906,0.18039894
400116,1.1618698,0.8137635,298.12308,403.85782,0.048216313,0.17826118
400117,0.9111975,1.036835,330.02072,409.09772,0.04465376,0.17131667
400118,1.3125186,0.7445708,312.35168,435.07822,0.04454241,0.17935115
400119,1.434038,0.73360896,356.00424,498.24402,0.0200537,0.15664339
400120,0.85570925,1.1827005,419.75607,495.95377,0.02349976,0.15021479
400121,1.239786,0.93798554,401.51245,517.4102,0.02497922,0.20240712
400122,1.5667003,0.6366181,351.94183,511.7151,0.03743787,0.14286664
400123,1.4698637,0.73588127,373.70587,522.8676,0.029100629,0.14676072
400124,1.4154103,0.73570734,349.35397,488.79886,0.029920885,0.15655611
400125,1.3427359,0.7731765,348.26855,479.96664,0.042812437,0.15627499
400126,0.98998183,0.98223877,311.84097,394.70145,0.049239777,0.20819695
400127,1.0857141,0.85144526,273.39,364.1808,0.038874563,0.2140373
400128,1.0011079,0.99711883,346.92813,437.5275,0.032534022,0.16058941
400129,0.83739144,1.3148952,478.72302,547.68585,0.0069285724,0.19458658
400130,1.1806614,0.7352548,238.91986,331.14566,0.05827656,0.26563296
400131,1.0582852,0.9339599,308.21002,398.7326,0.010560059,0.19710743
400132,0.94549274,1.1051953,365.10596,442.94406,0.0023016667,0.21879058
400133,1.0726885,0.985853,371.36087,470.5628,0.0062495586,0.16593851
400134,1.1577392,0.9249751,297.6482,385.8645,0.0032289866,0.28110683
400135,0.8781341,1.3720592,582.9714,660.98785,0.0008319597,0.2000772
400400,1.3299819,0.7136917,218.43062,303.10693,0.00171641,0.23015341
400500,1.295513,0.84642124,242.5015,322.3784,0.0017769869,0.28982788
