puma_2020,AAL_2020,AAL_2050
100100,22.44356,23.88463
100200,3.217741,3.369685
100300,16.28207,17.04751
100401,13.77792,15.24252
100402,5.681491,6.285435
100403,1.938902,2.145007
100501,14.21471,15.25032
100600,13.7936,14.40609
100700,56.15905,68.15433
100800,21.12796,23.87572
100900,7.672084,8.995259
101000,3.395479,3.528625
101100,8.253267,10.39567
101201,10.98141,13.22743
101202,.6892514,.830224
101301,13.79868,15.84505
101401,12.0685,14.0847
101402,6.063195,7.07613
101403,2.630255,3.069673
101404,3.845332,4.487744
101501,4.068835,5.008391
101502,13.94191,16.95242
101600,6.748273,8.46941
101700,24.27619,33.30853
101801,1.500934,1.854898
101802,.952601,1.177252
101901,6.969172,8.548363
102000,8.263243,9.501214
102101,3.681018,4.20676
102201,4.485133,5.373247
102300,3.583936,4.099045
102400,2.607311,3.303239
102500,6.809008,7.67489
102600,8.227657,9.290721
102701,22.53801,32.45299
102702,10.6854,15.38615
102801,40.61765,71.50441
102802,5.039686,8.871999
102803,3.633178,6.395944
400101,.4415795,.4381279
400102,.2098168,.2081767
400103,.0985849,.0978143
400104,.1064338,.1056019
400105,.2080396,.2064135
400106,.117116,.1162006
400107,.2073911,.20577
400108,.139944,.1388501
400109,.1057851,.1049583
400110,.240232,.2383543
400111,6.561058,6.509774
400112,1.194762,1.185424
400113,.1679896,.1666766
400114,.1234919,.1225266
400115,.1114761,.1106048
400116,.0875706,.0868861
400117,.1267209,.1257304
400118,.18333,.1818971
400119,.1565832,.1553592
400120,.281256,.2790576
400121,.3306875,.3281027
400122,.0658532,.0653384
400123,.0803474,.0797193
400124,.1310526,.1300282
400125,.0817148,.0810761
400126,.1626224,.1613513
400127,.1441045,.1429782
400128,.1474192,.1462669
400129,1.291136,1.281044
400130,.2249587,.2232003
400131,.1941812,.1926634
400132,.7264499,.7207717
400133,.1991421,.1975856
400134,31.91184,31.66241
400135,.3314587,.3288679
400400,35.2346,36.11258
400500,40.56172,45.47805
400601,9.236394,9.566749
400602,4.831048,5.003839
400701,16.0979,15.79643
400803,3.466294,3.216859
400805,19.4417,18.04267
400807,10.43908,9.68788
400900,55.83163,55.31638
401000,16.18547,16.64671
401101,.0386711,.0418769
401901,4.871071,4.837384
401902,.2074389,.2060043
401903,.3852248,.3664115
401904,.2379544,.2363087
401905,.7364748,.7313815
401906,.0182386,.0181125
401907,.0148293,.0147268
401908,.0374515,.0371925
401909,.0458441,.0455271
402502,2.884523,3.038614
402503,13.32554,14.03739
500101,8.861634,9.231709
500102,.7889028,.8218484
500201,2.327805,3.050285
500202,.389452,.5103262
500300,19.45999,19.92836
500400,9.482988,9.61824
500500,7.936283,8.281593
500600,4.411791,4.921016
500700,1.799647,2.017091
500800,2.78739,3.021327
500900,3.066434,3.191985
501000,5.689788,5.877782
501100,4.742583,4.871217
501200,5.568384,5.681145
501300,60.85935,60.87895
501400,2.53064,2.621581
501501,32.21265,33.46664
501502,6.075186,6.311683
501600,11.05237,11.40041
501700,4.07357,3.937189
600101,2.186462,2.571357
600111,1.903543,2.238633
600112,4.186182,4.923098
600113,2.870028,3.375254
600114,4.911341,5.77591
600115,9.602046,11.29234
600116,6.478004,7.618361
600117,9.072188,10.66921
600118,5.590666,6.574821
600119,27.15605,31.93647
600120,47.03352,55.31307
600121,5.30864,6.243148
600122,4.940552,5.810264
600123,1.032966,1.214804
600300,21.83785,22.87979
600700,79.40278,86.07378
601100,64.11337,67.80813
601301,2.373111,2.560795
601305,18.09395,19.52497
601308,7.621671,8.224455
601309,18.86579,20.35785
601310,5.518111,5.954528
601311,8.851644,9.551703
601312,9.041946,9.757057
601313,9.233356,9.963606
601314,6.81649,7.355594
601500,24.49834,25.95022
601700,14.13737,14.83179
601901,44.1124,50.59181
601902,.8513291,.9763758
601903,.361041,.4140722
601904,1.173916,1.346346
601905,.6332561,.7262713
601906,.8496601,.9744616
601907,47.74306,54.75575
602300,13.61534,17.33914
602500,1.678032,1.762729
602903,.1640528,.1742486
602904,.1298329,.1379019
602905,8.506743,9.03543
602906,4.673389,4.963836
602907,.1288274,.1368339
602908,.1275275,.1354532
603100,2.121108,2.54036
603300,17.70687,18.71395
603703,5.522458,5.98843
603704,6.495926,7.044036
603705,1.459539,1.582692
603706,1.071691,1.162117
603707,.74206,.8046732
603708,1.499217,1.625717
603709,23.76963,25.77526
603710,1.528929,1.657936
603711,2.386882,2.588281
603712,.8700955,.943512
603713,.9551986,1.035796
603714,1.60003,1.735037
603715,.5874229,.6369882
603716,.7469507,.8099766
603717,1.083053,1.174438
603718,.7713388,.8364224
603719,1.181395,1.281078
603720,1.108345,1.201864
603721,.3992307,.4329168
603722,.5108125,.5539136
603723,.3997098,.4334363
603724,1.162522,1.260612
603725,1.02429,1.110717
603728,.3693255,.4004883
603730,.4462496,.4839031
603731,.5190667,.5628642
603732,.4016879,.4355813
603733,.1110528,.1204231
603734,.4623511,.5013632
603735,.748233,.811367
603736,.4462014,.4838507
603737,.5457274,.5917745
603738,.6152773,.6671929
603739,1.440908,1.562488
603740,.6657234,.7218955
603741,.5414904,.58718
603742,.4755563,.5156825
603743,.2769242,.3002903
603744,.597887,.6483352
603745,.216865,.2351636
603746,.2132604,.2312547
603747,.5625175,.6099814
603748,1.069314,1.15954
603750,.4349717,.4716736
603751,.3334776,.3616155
603752,.4886312,.5298607
603753,.4719401,.5117612
603754,.9024367,.978582
603757,.7215259,.7824065
603758,.5273353,.5718306
603759,.3249852,.3524066
603760,.6576263,.7131151
603761,.6938071,.7523488
603762,.8552166,.9273776
603763,.5238744,.5680776
603764,.804086,.8719327
603766,.4528395,.491049
603767,1.024593,1.111046
603768,6.234584,6.760643
603770,.3140542,.3405533
603771,1.959714,2.12507
603772,59.03193,64.01289
603773,1.785628,1.936295
603774,7.725481,8.377338
603775,1.220123,1.323074
603776,.298587,.323781
603778,.3537364,.3835838
603779,.7293199,.7908581
603780,.389374,.4222285
